mes;	venda;	grupoCarne;	grupoUniforme;	grupoEmbalagem;	grupoUsoConsumo;	grupoHortiFrutti;	grupoPaes;	grupoBebidas;	grupoSobremesas;	grupoMolhos;	grupoFrios;	grupoSecos
2010-01-01;96927.89;7974.00;4.00;88645.20;6274.00;0.00;4915.00;893.00;10263.91;6141.00;5656.00;2857.40
2010-02-01;76471.56;8829.00;27.00;57403.40;4019.00;0.00;4513.00;1033.00;16840.80;1869.40;8018.00;3785.60
2010-03-01;79793.15;14877.28;66.00;69901.80;1622.00;0.00;4189.00;711.00;13881.60;4061.80;6800.80;1727.40
2010-04-01;76439.10;11210.00;15.00;70150.00;4020.00;0.00;4378.00;699.00;13274.20;836.20;6865.10;4472.80
2010-05-01;78011.35;7424.00;5.00;66060.00;4022.00;0.00;4228.00;770.00;12852.80;2860.10;4305.00;1692.20
2010-06-01;65728.25;9566.00;26.00;55510.00;2520.00;0.00;4346.00;661.00;11029.40;2797.00;22577.60;2509.40
2010-07-01;83759.25;7254.00;8.00;50830.00;2418.00;0.00;4797.00;619.00;9439.00;2959.90;4316.22;2256.70
2010-08-01;52914.80;5964.00;9.00;45050.00;1023.00;10.24;2890.00;329.40;6440.20;1435.90;4743.13;486.40
2010-09-01;53443.20;10328.00;23.00;69900.00;1135.00;5.50;4614.00;561.00;15637.20;4156.40;6788.62;3727.00
2010-10-01;102033.55;7692.00;10.00;54050.60;1576.00;0.00;4498.00;1052.20;12882.40;2782.60;7347.60;3114.00
2010-11-01;90379.90;12040.00;16.00;80966.00;1636.00;9.78;5141.00;814.20;15954.80;3172.10;6968.96;3970.00
2010-12-01;120550.70;18684.00;21.00;141620.00;3032.00;0.00;43690.00;1887.40;22508.00;8168.90;14951.21;4760.00
2011-01-01;119549.15;14833.80;103.00;100498.00;5010.00;0.00;5751.00;1697.40;20120.20;4375.20;8336.00;3992.50
2011-02-01;443462.79;10050.00;22.00;71130.00;2504.00;6.15;5620.87;1620.20;13295.40;2947.50;5898.00;2485.00
2011-03-01;424235.53;13112.00;41.00;75420.00;171.00;12.90;4823.00;1236.40;15003.40;4925.40;8225.21;3616.00
2011-04-01;357471.41;9974.00;63.00;80480.00;2563.00;7.18;6814.00;1116.40;10468.20;2754.80;8254.00;2167.60
2011-05-01;387277.93;14098.00;31.00;75090.00;1720.00;8.27;5856.00;886.20;5589.20;4307.60;9400.00;1624.90
2011-06-01;381015.38;10050.00;19.00;64620.00;1911.00;31.33;5125.00;859.40;10481.80;4383.10;8261.20;2038.80
2011-07-01;392346.70;14030.00;14.00;88350.00;1876.00;13.83;7260.00;918.20;6165.40;2974.60;9264.00;2455.50
2011-08-01;420736.66;12969.00;81.00;78030.00;929.00;51.73;6548.00;807.80;7993.00;3123.80;8346.60;2808.60
2011-09-01;423125.02;9835.00;19.00;67330.00;155.00;13.33;5955.00;522.00;13285.90;2971.90;5552.60;2167.70
2011-10-01;457146.45;16931.00;96.00;119820.00;2236.00;0.00;4804.00;511.80;11158.20;4068.30;6709.40;7065.80
2011-11-01;449190.88;21008.00;55.00;142730.00;1621.00;31.00;6664.00;848.60;18287.20;10863.00;10912.40;8609.40
2011-12-01;531589.54;20414.00;53.00;155830.00;428.00;30.00;11292.00;1918.40;24564.80;3285.60;7186.00;4652.50
2012-01-01;509044.01;14383.00;100.00;99870.00;424.00;4.00;6644.00;753.00;11865.20;4090.60;9632.60;2594.50
2012-02-01;419714.19;7475.00;0.00;56670.00;0.00;0.00;3870.00;710.00;4299.20;1814.00;5538.60;2218.50
2012-03-01;455123.02;12149.00;42.00;53150.00;307.00;0.00;5894.00;812.00;8262.40;2745.60;4294.60;2662.00
2012-04-01;433565.12;11867.00;31.00;68230.00;303.00;2.40;4574.00;600.00;3310.40;3735.60;6846.00;1728.00
2012-05-01;442348.54;12605.00;14.00;67360.00;121.00;4.80;6178.00;683.00;8560.80;4233.40;8319.80;2885.00
2012-06-01;411015.43;10991.00;86.00;56142.00;2618.00;2.40;5000.00;621.00;5857.90;2650.80;6886.60;2552.00
2012-07-01;452339.32;20516.00;44.00;142934.00;850.00;7.20;8379.00;612.00;13725.20;8264.40;11024.60;5212.00
2012-08-01;430103.83;11267.00;22.00;70894.00;437.00;2.40;4230.00;531.00;8975.40;2847.40;5570.00;3152.00
2012-09-01;406227.73;9805.00;86.00;73830.00;1734.00;2.40;4126.00;255.00;9608.00;3924.00;6857.20;2748.00
2012-10-01;439437.23;13346.00;10.00;91335.00;2132.00;6.40;6155.00;638.00;11795.30;3808.60;5754.60;3569.00
2012-11-01;491038.72;13363.00;21.00;108230.00;3915.00;24.00;6120.00;569.40;15074.40;4548.60;6972.00;4066.00
2012-12-01;585137.24;16600.00;65.00;156215.00;3203.00;60.25;7452.00;672.00;17904.20;5259.40;9747.20;5022.00
2013-01-01;539182.08;14673.00;10.00;94365.00;1724.00;52.00;7449.00;241.00;13274.20;3352.00;11016.60;6196.60
2013-02-01;470821.21;10363.00;3.00;68905.00;911.00;98.40;5191.00;279.00;10333.20;2521.20;6904.60;3159.00
2013-03-01;479516.60;15013.00;10.00;94546.00;2112.00;108.00;6350.00;490.00;12284.20;4257.00;8209.20;2988.20
2013-04-01;452707.34;10947.00;102.00;63260.00;2218.00;84.00;5087.00;454.00;8966.60;2648.80;6816.00;2392.60
2013-05-01;487553.39;14499.00;13.00;111680.00;2432.00;93.40;6833.00;598.00;10915.40;3149.78;9578.60;3641.00
2013-06-01;473313.28;10055.00;11.00;65130.00;1735.00;35.50;4491.00;276.00;6111.60;2807.20;5541.20;2890.40
2013-07-01;583613.08;13976.00;6.00;83820.00;1112.00;56.40;6357.00;205.30;9618.00;4015.69;9571.20;2811.80
2013-08-01;502984.91;14713.00;14.00;89790.00;1621.00;62.40;6459.00;71.30;11669.20;3176.20;7142.00;3460.60
2013-09-01;434283.18;9823.00;0.00;73970.00;814.00;55.00;4314.00;376.30;10115.20;4210.60;6950.00;3132.60
2013-10-01;480043.01;17048.00;1.00;121610.00;417.00;73.70;7368.00;271.05;19472.80;5091.40;9774.60;5586.85
2013-11-01;502236.60;6839.00;0.00;74240.00;12.00;19.00;3841.00;212.59;8774.80;1455.80;2931.20;2573.05
2013-12-01;323916.55;17531.00;0.00;185661.00;4846.00;18.80;9008.00;153.77;17584.80;2366.20;10987.80;5660.45
2014-01-01;265262.49;5942.00;2.00;46600.00;11.00;1.20;3510.00;18.00;8769.40;2261.00;3066.60;1414.00
2014-02-01;207088.16;12526.00;64.00;113800.00;8255.00;5.00;6016.00;114.00;17064.80;4176.45;7001.20;6864.20
2014-03-01;221782.12;15016.00;69.00;89551.00;6157.00;0.00;6991.00;336.41;13045.00;4457.90;7883.30;3379.40
2014-04-01;203266.74;13631.00;62.00;103371.00;10355.00;0.00;5658.00;58.94;11619.00;3241.80;8264.70;3016.20
2014-05-01;189297.38;17538.00;171.00;82850.00;7299.00;0.00;9758.00;209.96;15435.40;6099.40;11613.10;4096.20
2014-06-01;190360.51;26606.00;33.00;154403.00;4830.00;0.00;10588.00;488.12;12930.00;7878.40;17406.00;5947.10
2014-07-01;190607.74;10719.50;187.00;67980.00;12150.00;9.00;5958.00;0.00;8718.80;3501.20;5766.20;2579.00
2014-08-01;209055.96;11620.00;77.00;96953.00;11681.00;1.20;5868.00;81.76;11505.60;5135.80;7113.10;3372.45
2014-09-01;224262.81;11980.50;12.00;90852.00;10947.00;6.20;5933.00;57.00;14318.32;4858.20;7096.20;3592.00
2014-10-01;262784.12;23058.50;117.00;157450.00;14020.00;4.80;10821.00;72.01;22034.81;5613.40;16591.10;5639.25
2014-11-01;277435.09;9278.00;20.00;99430.00;8531.00;2.40;6164.00;81.76;11626.06;4233.00;5772.20;3337.50
2014-12-01;313021.94;16548.50;75.00;113160.00;7365.00;1.20;9659.00;70.52;12909.00;2849.20;8479.70;2837.25
2015-01-01;273267.00;24642.50;74.00;199366.00;24597.00;6.00;11841.00;70.07;20879.34;6326.40;14015.80;8091.50
2015-02-01;224575.44;15542.00;23.00;118635.00;9625.00;3.60;9944.00;56.72;16125.70;3945.20;11032.00;3679.00
2015-03-01;206760.53;16481.50;56.00;123790.00;624.00;3.60;8331.00;68.13;22777.68;3730.40;9794.40;6735.75
2015-04-01;255091.20;19872.71;0.00;119775.00;42.00;44.33;9471.00;194.71;13188.26;6707.00;9752.00;3062.50
2015-05-01;249965.78;23885.00;195.00;108580.00;10650.00;8.40;14519.00;154.05;13802.60;9043.80;13820.60;4137.55
2015-06-01;188152.79;15655.00;0.00;59540.00;0.00;0.00;6718.00;118.99;10175.00;5006.00;8189.20;3538.25
2015-07-01;224455.30;10626.00;0.00;43352.00;3007.00;35.50;5414.00;335.76;7908.60;3730.90;9632.00;6249.00
2015-08-01;170937.20;10091.50;0.00;47385.00;9.00;77.20;6006.00;565.29;16454.40;6470.20;7098.60;3055.00
2015-09-01;148394.01;13518.00;62.00;73879.00;635.00;80.20;6614.00;681.76;7368.00;4077.20;4409.20;2691.90
2015-10-01;157244.62;8228.50;0.00;63375.00;347.00;84.00;4177.00;536.05;8810.20;1689.85;5524.00;2713.05
2015-11-01;145131.38;10066.50;0.00;42835.00;0.00;78.70;4146.00;628.59;7172.20;2439.05;8191.10;3093.57
2015-12-01;212635.70;14859.00;4.00;94865.00;9337.00;95.90;8279.00;1196.70;6588.40;3186.05;7220.60;1769.22
2016-01-01;176655.99;10734.00;0.00;29630.00;0.00;66.40;4687.00;906.59;1026.40;1518.05;5576.20;1383.11
2016-02-01;141473.06;6044.00;0.00;55310.00;0.00;73.50;4657.00;541.82;4258.00;2598.40;5451.00;2077.25
2016-03-01;137053.53;10681.00;10.00;39108.00;20.00;70.40;3832.00;493.94;4436.40;1785.00;5658.60;1412.43
2016-04-01;106538.93;8230.50;0.00;28160.00;0.00;74.50;7500.00;768.64;5844.80;3482.40;3005.14;2461.22
2016-05-01;123328.63;11857.00;0.00;50075.00;0.00;81.20;3217.00;418.76;1268.30;1927.20;6831.42;1753.22
2016-06-01;112537.56;7422.00;0.00;19775.00;0.00;76.00;3825.00;360.01;4490.80;2220.00;6702.13;6134.32
2016-07-01;177347.65;11234.00;0.00;45110.00;0.00;34.00;5834.00;666.65;4062.80;2238.00;4591.66;1913.82
2016-08-01;130747.60;8540.00;0.00;37435.00;0.00;0.00;3517.00;460.47;5103.20;1833.20;3565.14;2040.61
2016-09-01;122784.15;7512.50;0.00;63626.00;0.00;2.40;4980.00;631.01;9500.00;3284.60;4416.06;3487.68
2016-10-01;149562.37;10179.00;4.00;50241.00;8309.00;2.40;3817.00;465.35;7202.80;3122.00;3258.84;3172.86
2016-11-01;140027.35;10291.00;19.00;70189.00;8013.00;2.40;3682.00;569.95;9470.80;2041.20;4375.65;3817.93
2016-12-01;201049.20;13055.50;5.00;91606.00;4309.00;0.00;7335.00;845.71;10430.70;4083.60;6007.53;5012.51
2017-01-01;166619.40;10934.50;103.00;70435.00;6220.00;1.20;4664.00;986.51;6711.50;2267.00;7010.11;9756.32
2017-02-01;138880.29;11740.00;0.00;52560.00;3311.00;0.00;5535.00;497.32;9219.10;3482.00;4590.63;2416.72
2017-03-01;152376.52;12207.00;12.00;100500.00;13731.00;1.20;7237.00;775.68;6702.60;4103.40;7018.87;3887.32
2017-04-01;164615.61;12127.50;0.00;48150.00;9144.00;2.40;5985.00;683.76;8295.70;4772.40;3128.37;3492.82
2017-05-01;124614.54;9674.50;8.00;38359.00;4003.00;0.00;3705.00;552.00;6555.90;2363.20;5650.83;3403.15
2017-06-01;97657.10;3342.00;0.00;23125.00;2204.00;0.00;840.00;148.00;1434.30;932.40;1475.95;969.41
2017-07-01;127893.32;10947.00;147.00;84492.00;7942.00;0.00;6558.00;572.00;11058.07;288.20;5549.66;4163.57
2017-08-01;68020.12;7154.00;0.00;53045.00;4309.00;0.00;3293.00;238.00;7933.40;813.60;15542.14;2882.11
